"GALIANO SOUTH","BRITISH COLUMBIA","101C04E","4","","","48.87","-123.32","485200000","-1231900000","15.2","1977","1978","","","1977","1978","1977","1978"
"GALIANO SOUTH 2","BRITISH COLUMBIA","101C0ME","3","","","48.88","-123.35","485300000","-1232100000","61","1979","1984","","","1979","1984","1979","1984"
"SAANICHTON MT NEWTON 2","BRITISH COLUMBIA","101F940","6807","","","48.6","-123.45","483600000","-1232700000","68","1993","1995","","","1993","1995","1993","1995"
"SAANICH OLDFIELD NORTH","BRITISH COLUMBIA","101F942","5","","","48.55","-123.42","483300000","-1232500000","69.5","1965","1967","","","1965","1967","1966","1967"
"SATURNA ISLAND CAMPBELL SCIENTIFIC","BRITISH COLUMBIA","101G100","7997","","","48.78","-123.05","484700000","-1230300000","24.4","1980","1992","1980","1992","","","",""
"VICTORIA WEST","BRITISH COLUMBIA","101H6FF","9","","","48.43","-123.38","482600000","-1232300000","15.2","1967","1968","","","1967","1968","1967","1968"
"VICTORIA WILLOWS PARK","BRITISH COLUMBIA","101HF66","8","","","48.43","-123.3","482600000","-1231800000","9.1","1970","1979","","","1970","1979","1970","1979"
"VICTORIA PHYLLIS STREET","BRITISH COLUMBIA","101HFEE","6","","","48.46","-123.27","482718000","-1231601000","7.6","1973","2001","","","1973","2001","1973","2001"
"VICTORIA PORTAGE INLET","BRITISH COLUMBIA","101HFNE","7","","","48.45","-123.43","482700000","-1232600000","6.1","1976","1983","","","1976","1983","1976","1983"
"CORDOVA BAY CLAREMOUNT","BRITISH COLUMBIA","101J9K0","6808","","","48.52","-123.37","483100000","-1232200000","80","1993","1995","","","1993","1995","1993","1995"
"VICTORIA PRINCESS AVE","BRITISH COLUMBIA","101Q655","13","","","48.43","-123.35","482600000","-1232100000","27","1973","1991","","","1973","1991","1973","1991"
"VICTORIA PROSPECT LAKE","BRITISH COLUMBIA","101Q6NN","12","","","48.52","-123.43","483100000","-1232600000","61","1973","1986","","","1973","1986","1973","1986"
"VICTORIA SHELBOURNE","BRITISH COLUMBIA","101QF57","11","","","48.47","-123.33","482800000","-1232000000","49","1964","1991","","","1964","1991","1964","1991"
"VICTORIA SHORT STREET","BRITISH COLUMBIA","101QFEG","10","","","48.45","-123.37","482700000","-1232200000","21.3","1961","1973","","","1961","1973","1961","1973"
"ALERT BAY","BRITISH COLUMBIA","1020270","137","","","50.58","-126.93","503500000","-1265600000","59.4","1913","2006","1954","1994","1913","2006","1913","1994"
"BALLENAS ISLAND","BRITISH COLUMBIA","1020590","138","71769","WGB","49.35","-124.16","492101000","-1240937000","12.9","1966","2016","1994","2016","1966","2016","1967","2007"
"BLACK CREEK","BRITISH COLUMBIA","1020880","139","","","49.85","-125.13","495046000","-1250758000","46","1964","2008","","","1964","2008","1964","2005"
"BLACK CREEK SE","BRITISH COLUMBIA","1020881","45507","","","49.8","-125.09","494812000","-1250541080","87.8","2006","2014","","","2006","2014","2006","2007"
"BLIND CHANNEL","BRITISH COLUMBIA","1020885","140","","","50.42","-125.5","502500000","-1253000000","3","1956","1993","","","1956","1993","1956","1993"
"BOWSER","BRITISH COLUMBIA","1020910","141","","","49.45","-124.67","492700000","-1244000000","3","1957","1958","","","1957","1958","1957","1958"
"NANAIMO HARBOUR","BRITISH COLUMBIA","1021052","26822","","WNA","49.17","-123.93","491000000","-1235600000","5","1994","1995","1994","1995","","","",""
"CAMERON LAKE","BRITISH COLUMBIA","1021230","142","","","49.28","-124.58","491700000","-1243500000","193","1924","1986","","","1924","1986","1924","1986"
"CAMPBELL LAKE","BRITISH COLUMBIA","1021250","143","","","50.02","-125.4","500100000","-1252400000","15.2","1919","1933","","","1919","1933","1919","1933"
"CAMPBELL RIVER","BRITISH COLUMBIA","1021260","144","","","50.02","-125.3","500100000","-1251800000","79.2","1936","1969","","","1936","1969","1936","1969"
"CAMPBELL RIVER A","BRITISH COLUMBIA","1021261","145","","YBL","49.95","-125.27","495707000","-1251623000","108.8","1965","2016","1979","2013","1965","2016","1965","2007"
"CAMPBELL RIVER BCFS","BRITISH COLUMBIA","1021262","146","","","50.07","-125.32","500400000","-1251900000","128","1969","1982","","","1969","1982","1969","1982"
"CAMPBELL RIVER BCHPA GEN","BRITISH COLUMBIA","1021263","147","","","50.05","-125.32","500300000","-1251900000","30.5","1972","1982","","","1972","1982","1972","1982"
"CAMPBELL R LAKEVIEW FC","BRITISH COLUMBIA","1021264","148","","","50.2","-125.55","501200000","-1253300000","198.1","1970","1973","","","1970","1973","1970","1973"
"CAMPBELL RIVER STP","BRITISH COLUMBIA","1021265","149","","","50.02","-125.23","500100000","-1251400000","3","1982","1996","","","1982","1996","1982","1996"
"CAMPBELL RIVER SURFSIDE","BRITISH COLUMBIA","1021266","150","","","49.95","-125.21","495642000","-1251227000","9","1981","2015","","","1981","2015","1981","2007"
"CAMPBELL RIVER A","BRITISH COLUMBIA","1021267","51317","","YBL","49.95","-125.27","495707000","-1251623000","108.8","2013","2016","2013","2016","","","",""
"CAMPBELL RIVER A","BRITISH COLUMBIA","1021270","52979","","YBL","49.95","-125.27","495707000","-1251623000","108.8","2014","2016","2014","2016","","","",""
"CAPE LAZO","BRITISH COLUMBIA","1021320","151","","","49.7","-124.87","494200000","-1245200000","38.1","1935","1962","","","1935","1962","1935","1962"
"CAPE MUDGE","BRITISH COLUMBIA","1021330","152","","WAD","50","-125.2","495954500","-1251143700","4.6","1978","2016","1994","2001","1978","2016","1978","2007"
"CAPE MUDGE CS","BRITISH COLUMBIA","1021332","27382","","WYA","50","-125.2","500000000","-1251200000","4","1998","1998","1998","1998","","","",""
"CHATHAM POINT","BRITISH COLUMBIA","1021480","153","","WFM","50.33","-125.45","501959500","-1252644000","22.9","1958","2016","1994","2001","1958","2016","1958","2007"
"CHROME ISLAND","BRITISH COLUMBIA","1021500","51678","","","49.47","-124.68","492820007","-1244059009","10","2013","2016","","","2013","2016","",""
"CHROME ISLAND","BRITISH COLUMBIA","1021616","27289","","WOG","49.47","-124.68","492800000","-1244100000","11.3","1997","1998","1997","1998","1998","1998","",""
"COAL HARBOUR RUPERT IN","BRITISH COLUMBIA","1021737","154","","","50.6","-127.5","503600000","-1273000000","57.3","1968","1996","","","1968","1996","1968","1996"
"COMOX A","BRITISH COLUMBIA","1021830","155","71893","YQQ","49.72","-124.9","494300000","-1245400000","25.6","1944","2016","1953","2016","1944","2016","1944","2014"
"COMOX PCC","BRITISH COLUMBIA","1021838","156","","","49.69","-125.03","494110000","-1250159000","11.9","1984","2005","","","1984","2005","1984","2005"
